id_inmueble,precio,planta,int/ext,nº hab,m2,ascensor,garage,barrio,id_barrio,distrito,id_distrito
4314,454200,1,EXTERIOR,3,88.0,False,False,PROSPERIDAD,52,CHAMARTIN,5
4315,2300000,10,EXTERIOR,2,290.0,True,False,EL VISO,51,CHAMARTIN,5
4316,895000,1,EXTERIOR,5,186.0,True,True,HISPANOAMERICA,54,CHAMARTIN,5
4317,1000000,7,EXTERIOR,4,178.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4318,1500000,5,EXTERIOR,4,220.0,True,True,EL VISO,51,CHAMARTIN,5
4319,6000000,8,EXTERIOR,3,525.0,True,True,EL VISO,51,CHAMARTIN,5
4320,465000,2,EXTERIOR,3,117.0,True,False,CASTILLA,56,CHAMARTIN,5
4321,2700000,2,EXTERIOR,2,260.0,True,True,EL VISO,51,CHAMARTIN,5
4322,324500,0,EXTERIOR,2,62.0,True,False,EL VISO,51,CHAMARTIN,5
4323,420000,3,EXTERIOR,1,75.0,False,False,EL VISO,51,CHAMARTIN,5
4324,3200000,0,EXTERIOR,6,573.0,False,True,HISPANOAMERICA,54,CHAMARTIN,5
4325,1501500,5,EXTERIOR,4,265.0,True,True,EL VISO,51,CHAMARTIN,5
4326,388000,1,EXTERIOR,2,63.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4327,388800,1,EXTERIOR,2,79.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4328,300000,1,EXTERIOR,2,60.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4329,324500,0,EXTERIOR,2,75.0,True,False,EL VISO,51,CHAMARTIN,5
4330,550000,4,EXTERIOR,3,131.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4331,2200000,8,EXTERIOR,4,300.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4332,500000,1,EXTERIOR,3,93.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4333,930700,1,EXTERIOR,3,151.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
