Nº Distrito;DISTRITO;BARRIO;PARQUES Y ZONAS VERDES DE DISTRITO CON MAYOR SUPERFICIE;Superficie (m2);Superficie (ha)
11;CARABANCHEL;ABRANTES;PARQUE EMPERATRIZ MARIA DE AUSTRIA;622.924,31;62,29
11;CARABANCHEL;SAN ISIDRO;PARQUE SAN ISIDRO;248.983,99;24,90
11;CARABANCHEL;BUENAVISTA;PARQUE DE LA VOLATERIA Y ENTORNO;157.817,37;15,78
11;CARABANCHEL;BUENAVISTA;Z.F. PAU CARABANCHEL - CEMENTERIO;143.794,66;14,38
11;CARABANCHEL;BUENAVISTA;Z.F. PAU CARABANCHEL - M-40;121.104,90;12,11
11;CARABANCHEL;PUERTA BONITA;UVA PAN BENDITO;55.949,85;5,59
11;CARABANCHEL;BUENAVISTA;JARDIN LOS POZUELOS;51.196,17;5,12
11;CARABANCHEL;VISTA ALEGRE;PARQUE EUGENIA DE MONTIJO II;42.632,33;4,26
11;CARABANCHEL;BUENAVISTA;Parque de Salvador Allende;37.238,28;3,72
11;CARABANCHEL;COMILLAS;PARQUE DE COMILLAS;35.337,54;3,53
11;CARABANCHEL;VISTA ALEGRE;COL. PARQUE EUGENIA DE MONTIJO;34.352,24;3,44
11;CARABANCHEL;VISTA ALEGRE;PARQUE EUGENIA DE MONTIJO I;31.351,23;3,14
11;CARABANCHEL;SAN ISIDRO;TALUD SAN ILLAN;28.956,83;2,90
11;CARABANCHEL;PUERTA BONITA;PARQUE STA. RITA;27.869,57;2,79
11;CARABANCHEL;BUENAVISTA;MED. AVDA. LA PESETA;24.587,67;2,46
11;CARABANCHEL;ABRANTES;LTRL. VIA LUSITANA;21.851,70;2,19
11;CARABANCHEL;SAN ISIDRO;JARDÍN DE LAS ASOCIACIONES;21.154,18;2,12
11;CARABANCHEL;BUENAVISTA;AVDA. POBLADOS - CTRA. LEGANES;20.488,46;2,05
11;CARABANCHEL;ABRANTES;COL. DIEGO VELAZQUEZ;20.021,77;2,00
11;CARABANCHEL;ABRANTES;JARDINES VIA LUSITANA;17.996,17;1,80
11;CARABANCHEL;PUERTA BONITA;PARQUE DEL PAN BENDITO;17.527,95;1,75
11;CARABANCHEL;BUENAVISTA;JM_INST. DEP. PAN BENDITO;17.482,96;1,75
11;CARABANCHEL;SAN ISIDRO;COMANDANTE FONTANES;17.159,51;1,72
11;CARABANCHEL;VISTA ALEGRE;AVDA. POBLADOS - JACOBINA;15.640,84;1,56
11;CARABANCHEL;OPAÑEL;PARQUE JACINTO VERDAGUER;14.398,26;1,44
11;CARABANCHEL;ABRANTES;API 11.08 AVDA. POBLADOS - VIA LUSITANA;13.496,45;1,35
11;CARABANCHEL;VISTA ALEGRE;COL. CODORNIZ;12.945,22;1,29
11;CARABANCHEL;BUENAVISTA;POL. INDUSTRIAL TAMAMES - AGUACATE;12.496,80;1,25
11;CARABANCHEL;COMILLAS;COL. URBIS;12.323,95;1,23
11;CARABANCHEL;PUERTA BONITA;AVDA. POBLADOS - CHIRIVITA;11.720,32;1,17
11;CARABANCHEL;PUERTA BONITA;AVDA. DE LOS POBLADOS - ALBA DE TORMES;11.127,09;1,11
11;CARABANCHEL;BUENAVISTA;AGUACATE- AVDA PESETA;10.286,11;1,03
11;CARABANCHEL;BUENAVISTA;JARDIN LOS PARRALES;10.721,46;1,07
11;CARABANCHEL;OPAÑEL;COL. EXPERIMENTALES;10.030,56;1,00
12;USERA;PRADOLONGO;PARQUE DE PRADOLONGO;595.660,85;59,57
12;USERA;ORCASITAS;POBLADO DIRIGIDO ORCASITAS;86.420,90;8,64
12;USERA;ORCASITAS;COLONIA MESETA DE ORCASITAS I;64.296,35;6,43
12;USERA;ORCASITAS;COL. MESETA DE ORCASITAS II;50.535,04;5,05
12;USERA;ORCASITAS;PARQUE MUJERES DE ORCASITAS;48.413,58;4,84
12;USERA;ZOFIO;PARQUE OLOF PALME;44.838,60;4,48
12;USERA;ORCASUR;COL. ORCASUR;38.314,61;3,83
12;USERA;ZOFIO;PANTALLA VERDE CTRA. TOLEDO II;34.569,21;3,46
12;USERA;ORCASUR;PERI 12 - 5 RANCHO DEL CORDOBES;32.833,93;3,28
12;USERA;MOSCARDO;COL. PABLO JIMENEZ;26.790,66;2,68
12;USERA;ZOFIO;INTBL. GRUPO USERA;26.288,23;2,63
12;USERA;ORCASUR;NUEVO PRADOLONGO;26.041,24;2,60
12;USERA;SAN FERMIN;PARQUE SAN FERMIN;24.396,47;2,44
12;USERA;ALMENDRALES;COL. DE ALMENDRALES;24.235,29;2,42
12;USERA;ORCASITAS;TALUD TALBOT;23.581,55;2,36
12;USERA;ORCASITAS;PARQUE SEGURA;22.223,94;2,22
12;USERA;ZOFIO;URB. NORTE P. ORCASITAS - PPI 13;20.566,06;2,06
12;USERA;ORCASITAS;TOLOSA - AVDA. DE LOS POBLADOS;20.536,75;2,05
12;USERA;PRADOLONGO;Z.F. RAFAELA YBARRA;16.497,36;1,65
12;USERA;SAN FERMIN;PARQUE DE LA PERLA;14.486,16;1,45
12;USERA;ZOFIO;PANTALLA VERDE CTRA. TOLEDO I;14.345,06;1,43
12;USERA;SAN FERMIN;OLIGISTO;14.017,80;1,40
12;USERA;SAN FERMIN;INST. DEP. SAN FERMIN - ESTAFETA;14.011,73;1,40
12;USERA;ORCASUR;A.V.C. GTA. DE MALAGA - NUEVO PRADOLONGO;13.650,89;1,37
12;USERA;ZOFIO;ESPACIOS LIBRES Bº  ZOFIO II;12.940,04;1,29
12;USERA;SAN FERMIN;COL. SAN FERMIN;12.896,59;1,29
12;USERA;ORCASUR;DR. TOLOSA LATOUR - AVDA. CORDOBA;12.515,35;1,25
12;USERA;PRADOLONGO;J.M. USERA;11.489,56;1,15
12;USERA;ORCASITAS;PZA. ASOCIACION MESETA DE ORCASITAS;11.368,54;1,14
12;USERA;SAN FERMIN;JARDIN SILVINA;10.994,96;1,10
12;USERA;ORCASITAS;PARQUE ALZOLA;10.494,57;1,05
12;USERA;ORCASITAS;COL. Cº VIEJO VILLAVERDE;10.384,74;1,04
12;USERA;SAN FERMIN;ENTORNO GTA. MALAGA;10.111,33;1,01
